child_id,physical_abuse,emotional_abuse,sexual_abuse,victimization,parent_monitoring,parent_support,parental_warmth,family_conflict,domestic_violence_exposure,school_attendance,school_grades,school_attachment,teacher_support,school_suspensions,alcohol_use,smoking_frequency,drug_use,peer_delinquency,gang_exposure,household_income,parent_education,neighborhood_disadvantage,mental_health_score,impulsivity_score,criminal_risk,is_criminal
CHD00001,3.75,8.79,3.77,6.02,2.16,8.38,8.04,7.75,1.32,1.37,5.1,5.36,3.45,2.7,6.24,0.8,1.27,10.83,3.56,29297.13,3.71,5.59,9.02,2.14,46.0,0
CHD00002,,6.34,4.82,5.55,4.61,9.45,3.86,8.39,0.24,,6.27,1.29,7.27,4.5,4.46,8.23,2.79,14.56,9.19,116380.21,14.54,4.99,5.84,4.88,62.2,1
CHD00003,7.32,0.61,2.24,8.34,,2.31,6.9,1.99,7.56,9.48,0.29,3.23,1.43,4.37,1.47,4.78,7.99,8.29,2.97,19177.79,5.53,8.41,7.65,3.29,55.9,1
CHD00004,5.99,9.61,4.63,5.05,0.69,5.37,4.32,6.56,5.22,1.18,0.98,3.8,2.56,8.35,6.61,7.49,0.19,,7.4,146248.04,,8.86,8.79,3.14,69.5,1
CHD00005,1.56,6.93,1.13,0.92,1.04,2.52,1.67,7.84,9.32,0.15,3.56,0.91,3.46,1.83,0.66,9.93,5.95,5.79,7.38,92131.83,17.1,9.23,3.67,0.87,58.7,1
CHD00006,,1.52,0.16,9.72,6.38,9.32,2.52,6.45,4.19,5.96,6.09,4.25,6.36,3.48,7.64,6.46,3.73,9.51,11.08,15500.52,8.8,2.3,2.65,6.87,52.7,0
CHD00007,0.58,9.69,0.64,5.47,6.28,6.89,0.06,0.52,,1.44,4.84,7.58,14.59,2.01,4.9,5.87,6.31,7.43,9.33,142809.94,15.37,1.26,2.22,8.35,43.0,0
CHD00008,8.66,3.65,0.8,6.36,10.98,9.89,0.7,9.59,0.17,8.31,5.39,7.92,7.36,1.67,3.65,5.66,8.0,7.32,0.11,62028.76,0.52,1.74,9.75,5.75,38.9,0
CHD00009,6.01,9.85,4.12,0.52,6.81,9.72,1.53,5.68,5.37,6.15,5.18,9.17,1.49,2.79,0.2,2.11,9.87,2.26,0.13,135280.57,10.16,4.34,7.05,9.17,53.1,0
CHD00010,7.08,1.03,2.01,8.01,7.68,6.75,8.99,11.4,6.09,3.92,,6.45,2.06,9.32,9.02,8.28,0.17,6.85,6.21,58593.19,0.86,1.66,6.84,,51.3,0
CHD00011,0.21,1.6,1.17,9.04,9.65,2.77,3.87,4.42,1.49,0.89,8.69,2.15,1.56,1.15,1.49,1.21,12.9,8.37,,58861.93,14.42,9.19,0.25,6.47,56.5,1
CHD00012,9.7,6.57,4.06,,1.98,1.67,8.54,5.3,2.54,4.62,6.96,6.98,8.02,3.77,3.37,2.61,2.53,0.5,1.94,76557.41,16.79,0.29,7.88,5.93,47.0,0
CHD00013,8.32,0.22,1.01,2.87,7.5,9.03,5.51,1.02,8.68,3.07,,1.87,3.26,7.21,5.82,3.75,3.45,1.44,,258896.09,15.95,9.03,3.8,,45.9,0
CHD00014,2.12,0.19,0.39,2.04,9.46,7.05,2.1,4.15,3.72,3.93,13.61,8.6,2.07,6.0,3.74,2.14,0.24,4.39,6.94,144385.53,2.73,6.26,8.62,8.91,26.2,0
CHD00015,1.82,7.92,2.33,5.45,,5.7,5.66,9.3,6.33,3.05,1.23,5.73,9.7,5.28,9.11,6.29,3.44,4.77,0.58,76674.87,3.93,6.73,1.3,9.39,49.1,1
CHD00016,1.83,1.68,0.35,0.21,3.29,3.93,9.88,1.52,1.41,2.54,1.36,5.54,0.49,3.19,0.51,0.68,3.94,3.36,5.35,15699.05,17.49,9.77,9.62,8.49,36.9,0
CHD00017,3.04,14.38,1.39,1.28,9.61,0.31,5.47,3.95,7.19,0.21,9.94,8.06,8.2,3.52,5.68,6.95,6.09,3.08,9.83,77069.42,6.38,2.36,7.1,6.56,51.8,0
CHD00018,5.25,4.26,3.5,6.12,9.98,9.76,6.14,7.57,,3.9,3.81,7.56,1.75,0.5,9.0,14.94,4.09,,4.5,31815.09,6.97,5.14,0.16,9.74,50.5,0
CHD00019,4.32,8.74,1.87,4.85,3.06,7.29,9.81,1.92,5.76,9.14,5.97,0.55,9.6,11.91,0.76,5.85,2.12,2.35,9.09,12772.94,13.53,1.76,6.48,8.43,46.9,0
CHD00020,2.91,4.18,0.44,7.45,8.51,7.49,1.38,4.29,9.33,3.88,0.65,1.86,0.83,4.48,9.35,6.18,2.94,14.33,4.13,35937.37,7.02,,2.56,1.2,59.3,1
CHD00021,6.12,5.3,2.01,7.42,0.51,1.82,8.29,7.2,7.95,3.42,6.02,6.33,5.5,8.21,9.71,3.3,3.92,7.53,8.08,122572.25,7.27,,4.97,0.32,56.1,1
CHD00022,1.39,3.17,2.57,4.34,4.46,9.54,5.38,1.05,9.04,8.67,3.08,1.17,8.68,8.08,6.95,6.57,9.52,0.3,5.44,,5.91,3.57,9.92,0.85,37.0,0
CHD00023,2.92,6.58,1.25,6.75,3.42,6.81,0.87,4.33,5.1,6.55,14.78,2.83,2.1,2.35,5.12,1.57,,9.98,8.87,144792.26,9.59,4.18,6.88,9.07,53.6,0
CHD00024,3.66,3.18,0.85,8.6,5.9,1.87,1.16,8.1,3.33,2.82,2.63,4.39,2.53,1.45,1.64,0.94,1.45,7.87,0.22,91609.89,3.04,9.88,2.54,6.7,64.5,1
CHD00025,4.56,2.23,3.81,,,5.35,5.02,8.08,7.81,,1.22,1.25,2.58,5.15,1.27,1.13,0.7,9.21,1.65,,13.56,3.3,8.44,8.81,48.6,0
CHD00026,7.85,11.82,0.34,9.68,1.12,,2.53,7.1,9.8,5.43,9.06,5.06,4.1,5.38,2.25,9.07,3.9,8.48,14.65,124176.68,7.7,3.97,9.95,7.97,61.7,1
CHD00027,2.0,0.58,4.78,9.94,7.01,5.48,8.99,6.89,3.8,2.07,9.89,5.4,12.53,0.24,6.97,1.46,1.33,1.52,7.61,101602.6,,7.62,7.62,1.4,43.7,0
CHD00028,5.14,3.06,0.04,5.13,6.87,9.78,6.06,6.25,9.51,3.93,3.42,1.52,,6.23,7.27,8.41,8.38,,4.08,51558.73,8.12,3.51,3.47,8.54,55.4,0
CHD00029,5.92,7.36,3.26,2.6,7.71,0.47,2.7,1.78,9.18,1.07,7.1,1.99,4.83,9.89,3.82,,9.12,1.63,0.26,40003.26,2.65,,2.74,8.55,67.0,1
CHD00030,0.46,2.06,0.67,7.88,5.24,9.44,4.34,1.67,2.31,5.78,8.49,4.82,7.52,2.09,6.42,3.99,,8.09,3.3,118322.65,19.66,9.08,14.49,7.61,42.5,0
CHD00031,6.08,2.99,2.74,1.74,2.34,6.96,4.48,0.81,9.44,7.81,2.93,6.58,,1.96,4.49,8.15,6.45,8.29,5.06,57197.72,7.06,1.72,2.47,4.73,47.5,0
CHD00032,1.71,9.05,0.94,7.74,0.36,8.64,0.1,3.13,,2.2,9.24,8.57,8.91,8.44,8.19,7.29,9.31,2.82,1.19,110756.55,5.68,9.2,4.54,2.14,55.3,0
CHD00033,0.65,6.39,0.17,4.44,9.72,1.09,1.28,2.63,0.84,12.5,9.77,6.3,6.74,1.26,4.1,6.11,2.34,5.83,8.72,81717.14,17.35,6.08,4.22,6.02,26.9,0
CHD00034,9.49,9.2,4.3,7.79,0.53,,1.19,8.19,6.84,1.33,0.33,7.96,3.81,14.31,7.93,2.38,5.78,9.49,6.84,42549.89,10.39,3.47,3.19,3.94,70.6,1
